   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 220,         24618,           11982,             23,      6365,         554,         18,      24090,        11982,          58,     6347,       1521,        20
 221,         25017,           12180,             23,      6359,         558,         18,      24310,        12180,          58,     6357,       1521,        20
 222,         25162,           12251,             23,      6333,         573,         18,      24531,        12251,          58,     6402,       1534,        20
 223,         25409,           12373,             23,      6201,         579,         18,      24753,        12373,          60,     6430,       1536,        20
 224,         25494,           12414,             23,      6312,         585,         19,      24976,        12414,          60,     6498,       1559,        21
 225,         25575,           12453,             24,      6378,         574,         19,      25200,        12453,          58,     6508,       1560,        21
 226,         25788,           12558,             24,      7034,         583,         19,      25425,        12558,          61,     6572,       1573,        21
 227,         26083,           12704,             24,      6338,         595,         19,      25651,        12704,          63,     6604,       1585,        21
 228,         26176,           12749,             24,      6238,         598,         19,      25878,        12749,          61,     6622,       1588,        21
 229,         26425,           12872,             24,      6650,         585,         19,      26106,        12872,          61,     6645,       1591,        21
 230,         26488,           12902,             24,      7498,         563,         18,      26335,        12902,          61,     6728,       1615,        22
 231,         26645,           12979,             24,      6241,         613,         19,      26565,        12979,          62,     6731,       1612,        21
 232,         26918,           13114,             35,      6287,         616,         20,      26796,        13114,          64,     6779,       1627,        22
 233,         27149,           13228,             39,      6895,         588,         28,      27028,        13228,          92,     6785,       1625,        29
 234,         27398,           13351,             39,      6639,         613,         32,      27261,        13351,          94,     6854,       1646,        32
 235,         27717,           13509,             38,      7879,         591,         27,      27495,        13509,          66,     6881,       1654,        23
 236,         28096,           13697,             26,      7611,         593,         20,      27730,        13697,          66,     6916,       1654,        22
 237,         28269,           13782,             26,      6772,         623,         19,      27966,        13782,          65,     6950,       1667,        22
 238,         28302,           13797,             26,      6815,         631,         19,      28203,        13797,          66,     6966,       1672,        22
 239,         28637,           13963,             26,      7016,         606,         19,      28441,        13963,          67,     7011,       1684,        22
 240,         28640,           13963,             43,      6786,         628,         28,      28680,        13963,         100,     7059,       1696,        31
 241,         28971,           14127,             47,      6612,         630,         30,      28920,        14127,         104,     7083,       1698,        33
 242,         29004,           14142,             46,      6525,         626,         28,      29161,        14142,          93,     7102,       1703,        23
 243,         29467,           14372,             27,      7223,         620,         21,      29403,        14372,          70,     7089,       1695,        22
 244,         29668,           14471,             27,      7147,         621,         20,      29646,        14471,          70,     7137,       1708,        23
 245,         30143,           14707,             28,      7544,         632,         20,      29890,        14707,          71,     7191,       1724,        22
 246,         30460,           14864,             28,      7321,         624,         20,      30135,        14864,          71,     7251,       1741,        22
 247,         30865,           15065,             28,      7284,         644,         20,      30381,        15065,          71,     7258,       1736,        23
 248,         31076,           15169,             28,      7256,         646,         20,      30628,        15169,          73,     7313,       1756,        23
 249,         31207,           15233,             29,      7433,         639,         19,      30876,        15233,          74,     7334,       1756,        23
 250,         31234,           15245,             40,      7274,         666,         31,      31125,        15245,         103,     7337,       1754,        34
 251,         31261,           15257,             59,      7101,         655,         31,      31375,        15257,          89,     7413,       1776,        46
 252,         31498,           15374,             49,      7001,         668,         37,      31626,        15374,         105,     7451,       1787,        51
 253,         31795,           15521,             52,      7238,         664,         29,      31878,        15521,         106,     7446,       1780,        36
 254,         31862,           15553,             47,      7432,         672,         35,      32131,        15553,         110,     7508,       1796,        38
 255,         32125,           15683,             51,      7664,         652,         34,      32385,        15683,         111,     7548,       1810,        38
 256,         32626,           15932,             47,      7725,         654,         34,      32640,        15932,         114,     7566,       1811,        39
 257,         33077,           16156,             52,      7385,         658,         34,      32896,        16156,         116,     7596,       1819,        40
 258,         33592,           16412,             56,      7176,         673,         35,      33153,        16412,         114,     7630,       1829,        40
 259,         33855,           16542,             55,      7623,         676,         35,      33411,        16542,         116,     7668,       1839,        39
 260,         33972,           16599,             52,      7818,         646,         33,      33670,        16599,         125,     7711,       1850,        26
 261,         34491,           16857,             31,      7911,         675,         23,      33930,        16857,          85,     7732,       1850,        26
 262,         34950,           17085,             32,      8771,         649,         21,      34191,        17085,          84,     7789,       1868,        26
 263,         35461,           17339,             32,      7717,         691,         22,      34453,        17339,          83,     7792,       1868,        26
 264,         35874,           17544,             32,      7754,         667,         21,      34716,        17544,          86,     7849,       1881,        27
 265,         36021,           17616,             32,      8116,         669,         21,      34980,        17616,          83,     7902,       1897,        26
 266,         36120,           17664,             32,      7832,         687,         21,      35245,        17664,          85,     7952,       1911,        26
 267,         36365,           17785,             33,      7759,         689,         21,      35511,        17785,          86,     7958,       1912,        26
 268,         36790,           17996,             33,      7812,         715,         22,      35778,        17996,          85,     7985,       1919,        27
 269,         36973,           18086,             33,      7713,         714,         22,      36046,        18086,          87,     8039,       1927,        26
 270,         37294,           18245,             33,      7771,         719,         22,      36315,        18245,          85,     8065,       1938,        27
 271,         37649,           18421,             34,      7792,         724,         22,      36585,        18421,          88,     8059,       1932,        28
 272,         38174,           18682,             34,      7800,         717,         22,      36856,        18682,          91,     8122,       1947,        27
 273,         38253,           18720,             34,      8719,         702,         22,      37128,        18720,          90,     8144,       1951,        27
 274,         38374,           18779,             34,      8456,         718,         22,      37401,        18779,          92,     8251,       1986,        27
 275,         38571,           18876,             35,      7903,         730,         22,      37675,        18876,          91,     8244,       1979,        27
 276,         38956,           19067,             35,      8225,         735,         22,      37950,        19067,          90,     8271,       1984,        28
 277,         39167,           19171,             35,      8607,         719,         23,      38226,        19171,          89,     8298,       1990,        28
 278,         39210,           19191,             35,      8575,         723,         22,      38503,        19191,          92,     8379,       2016,        28
 279,         39329,           19249,             35,      8438,         730,         23,      38781,        19249,         127,     8382,       2010,        34
 280,         39630,           19398,             36,      8675,         734,         26,      39060,        19398,         340,     8431,       2025,        29
 281,         39859,           19511,             57,      8260,         724,         38,      39340,        19511,          96,     8429,       2022,        30
 282,         40332,           19746,             36,      8516,         741,         23,      39621,        19746,          96,     8477,       2035,        30
 283,         40523,           19840,             37,      8303,         756,         24,      39903,        19840,          96,     8476,       2031,        28
 284,         40916,           20035,             37,      8626,         750,         23,      40186,        20035,          97,     8577,       2062,        29
 285,         40929,           20040,             37,      9197,         750,         23,      40470,        20040,          97,     8616,       2071,        28
 286,         41436,           20292,             37,      8878,         741,         23,      40755,        20292,          96,     8628,       2071,        29
 287,         41455,           20300,             37,      8816,         757,         24,      41041,        20300,          97,     8629,       2071,        28
 288,         41498,           20320,             37,      8688,         753,         23,      41328,        20320,          98,     8735,       2101,        29
 289,         41741,           20440,             38,      8377,         772,         24,      41616,        20440,          98,     8781,       2115,        29
 290,         42152,           20644,             38,      9011,         758,         24,      41905,        20644,          99,     8793,       2111,        29
 291,         42599,           20866,             38,      8808,         771,         24,      42195,        20866,         100,     8809,       2115,        29
 292,         43116,           21123,             39,      8876,         782,         24,      42486,        21123,         100,     8892,       2142,        29
 293,         43661,           21394,             39,      8799,         762,         24,      42778,        21394,          99,     8916,       2141,        29
 294,         43984,           21554,             39,      9319,         780,         23,      43071,        21554,         101,     8923,       2141,        29
 295,         44077,           21599,             39,      9055,         777,         24,      43365,        21599,         102,     8967,       2154,        30
 296,         44400,           21759,             40,      8949,         793,         24,      43660,        21759,         104,     9026,       2174,        30
 297,         44527,           21821,             40,      9302,         776,         24,      43956,        21821,         106,     9023,       2168,        30
 298,         44864,           21988,             40,      8703,         812,         24,      44253,        21988,         103,     9081,       2183,        30
 299,         45341,           22225,             41,      9105,         779,         25,      44551,        22225,         105,     9136,       2200,        30
 300,         45624,           22365,             41,      9183,         797,         25,      44850,        22365,         106,     9178,       2208,        30
 301,         45979,           22541,             41,      9592,         802,         25,      45150,        22541,         106,     9227,       2222,        30
 302,         46306,           22703,             41,      8762,         820,         25,      45451,        22703,         107,     9258,       2230,        31
 303,         46775,           22936,             42,      9615,         796,         25,      45753,        22936,         105,     9298,       2237,        31
 304,         47308,           23201,             42,      9474,         800,         24,      46056,        23201,         107,     9348,       2250,        31
 305,         47741,           23416,             43,      9455,         810,         25,      46360,        23416,         110,     9334,       2243,        31
 306,         47980,           23534,             43,      9717,         790,         24,      46665,        23534,         149,     9442,       2273,        42
 307,         48047,           23566,             57,      9311,         834,        140,      46971,        23566,         210,     9452,       2273,        38
 308,         48224,           23653,             74,      9328,         818,         60,      47278,        23653,         194,     9499,       2284,        47
 309,         48631,           23855,             69,      9612,         816,         42,      47586,        23855,         173,     9502,       2278,        48
 310,         48880,           23978,             71,      9191,         844,         27,      47895,        23978,         113,     9540,       2293,        35
 311,         49241,           24157,             44,     10223,         825,         27,      48205,        24157,         113,     9597,       2312,        32
 312,         49596,           24333,             44,      9624,         814,         25,      48516,        24333,         112,     9631,       2318,        31
 313,         49743,           24405,             44,      9561,         825,         25,      48828,        24405,         114,     9661,       2326,        32
 314,         50144,           24604,             45,      9636,         869,         26,      49141,        24604,         114,     9749,       2347,        32
 315,         50749,           24905,             45,     10736,         814,         26,      49455,        24905,         116,     9774,       2352,        31
 316,         51144,           25101,             45,     10315,         847,         26,      49770,        25101,         118,     9780,       2352,        32
 317,         51221,           25138,             46,      9345,         868,         25,      50086,        25138,         118,     9850,       2373,        32
 318,         51448,           25250,             46,      9117,         850,         25,      50403,        25250,         118,     9851,       2371,        33
 319,         51651,           25350,             46,      9941,         854,         27,      50721,        25350,         116,     9907,       2385,        33
 320,         51770,           25408,             46,      9754,         863,         26,      51040,        25408,         115,     9971,       2395,        33
 321,         51777,           25410,             46,      9505,         876,         26,      51360,        25410,         118,    10008,       2405,        33
 322,         52002,           25521,             46,      9567,         875,         36,      51681,        25521,         117,    10009,       2404,        33
 323,         52551,           25794,             47,     10171,         870,         27,      52003,        25794,         120,    10026,       2409,        34
 324,         52562,           25798,             47,      9889,         878,         27,      52326,        25798,         120,    10083,       2425,        33
 325,         52975,           26003,             47,     10022,         874,         27,      52650,        26003,         121,    10114,       2430,        33
 326,         53340,           26184,             47,      9791,         866,         27,      52975,        26184,         122,    10115,       2427,        34
 327,         53481,           26253,             48,     10170,         884,         27,      53301,        26253,         122,    10184,       2448,        34
 328,         53734,           26378,             48,      9720,         875,         26,      53628,        26378,         136,    10210,       2455,        39
 329,         53897,           26458,             55,     10525,         866,         28,      53956,        26458,         169,    10271,       2473,        49
 330,         53938,           26477,             73,     10470,         886,         43,      54285,        26477,         182,    10266,       2470,        35
 331,         54575,           26794,             48,     10055,         906,         30,      54615,        26794,         125,    10321,       2479,        34
 332,         54586,           26798,             48,     11711,         864,         28,      54946,        26798,         125,    10360,       2489,        35
 333,         55085,           27046,             49,     10003,         906,         27,      55278,        27046,         129,    10397,       2501,        34
 334,         55146,           27075,             49,     10111,         910,         28,      55611,        27075,         127,    10422,       2507,        34
 335,         55323,           27162,             49,     10221,         889,         27,      55945,        27162,         128,    10502,       2534,        36
 336,         55360,           27179,             49,     10648,         911,         28,      56280,        27179,         128,    10561,       2549,        34
 337,         55859,           27427,             49,     10249,         908,         28,      56616,        27427,         128,    10587,       2551,        38
 338,         56138,           27565,             50,     10600,         927,         28,      56953,        27565,         129,    10587,       2543,        34
 339,         56271,           27630,             50,     10560,         925,         28,      57291,        27630,         129,    10638,       2556,        35
 340,         56666,           27826,             50,     10529,         900,         28,      57630,        27826,         130,    10697,       2574,        35
 341,         57023,           28003,             50,     10011,         921,         28,      57970,        28003,         133,    10726,       2583,        35
 342,         57424,           28202,             51,     10260,         932,         28,      58311,        28202,         131,    10762,       2592,        35
 343,         58035,           28506,             51,     11629,         912,         29,      58653,        28506,         135,    10816,       2602,        36
 344,         58076,           28525,             51,     10970,         932,         29,      58996,        28525,         137,    10848,       2611,        35
 345,         58089,           28530,             51,     10406,         928,         29,      59340,        28530,         133,    10881,       2618,        35
 346,         58646,           28807,             52,     10276,         936,         29,      59685,        28807,         136,    10910,       2625,        35
 347,         59291,           29128,             52,     11343,         938,         29,      60031,        29128,         138,    10937,       2634,        35
 348,         59542,           29252,             53,     11272,         935,         29,      60378,        29252,         138,    10983,       2644,        36
 349,         60017,           29488,             53,     10615,         958,         29,      60726,        29488,         140,    11052,       2664,        37
 350,         60680,           29818,             54,     10837,         952,         29,      61075,        29818,         141,    11056,       2662,        36
 351,         60747,           29850,             67,     11068,         965,         39,      61425,        29850,         207,    11077,       2668,        58
 352,         61360,           30155,             78,     10923,         945,         44,      61776,        30155,         241,    11118,       2677,        54
 353,         61679,           30313,             59,     10930,         979,         31,      62128,        30313,         146,    11185,       2695,        37
 354,         62356,           30650,             55,     10823,         983,         31,      62481,        30650,         146,    11215,       2704,        37
 355,         62829,           30885,             55,     11328,         969,         31,      62835,        30885,         145,    11197,       2695,        37
 356,         63298,           31118,             92,     11289,         988,         49,      63190,        31118,         216,    11307,       2724,        53
 357,         63353,           31144,             97,     11847,         954,         49,      63546,        31144,         208,    11347,       2736,        56
 358,         63524,           31228,             97,     11980,         942,         49,      63903,        31228,         220,    11410,       2752,        56
 359,         64169,           31549,            101,     10714,        1012,         48,      64261,        31549,         219,    11390,       2745,        57
 360,         64314,           31620,             82,     10678,        1017,         40,      64620,        31620,         149,    11454,       2758,        38
 361,         64769,           31846,             57,     11165,        1006,         31,      64980,        31846,         150,    11447,       2756,        37
 362,         65350,           32135,             58,     11059,         981,         30,      65341,        32135,         150,    11540,       2781,        38
 363,         65775,           32346,             58,     11829,         990,         30,      65703,        32346,         151,    11508,       2772,        38
 364,         66424,           32669,             58,     11546,         983,         30,      66066,        32669,         150,    11605,       2801,        38
 365,         66499,           32705,             58,     11357,         986,         30,      66430,        32705,         154,    11609,       2797,        38
 366,         67018,           32963,             59,     11759,        1009,         30,      66795,        32963,         150,    11647,       2807,        38
 367,         67403,           33154,             79,     11116,         997,         34,      67161,        33154,         185,    11638,       2806,        50
 368,         67430,           33166,             66,     11194,         996,         41,      67528,        33166,         222,    11720,       2828,        39
 369,         67807,           33353,             60,     11870,        1001,         32,      67896,        33353,         156,    11773,       2839,        39
 370,         68200,           33548,             60,     11886,        1002,         31,      68265,        33548,         156,    11850,       2858,        39
 371,         68369,           33631,             60,     11353,        1031,         31,      68635,        33631,         168,    11837,       2849,        38
 372,         68786,           33838,             60,     12159,        1020,         31,      69006,        33838,         156,    11881,       2864,        39
 373,         69309,           34098,             61,     12058,        1004,         31,      69378,        34098,         157,    11930,       2878,        39
 374,         69422,           34153,             61,     12642,        1024,         32,      69751,        34153,         158,    11942,       2882,        38
 375,         69441,           34161,             61,     11641,        1029,         32,      70125,        34161,         160,    12017,       2895,        39
 376,         69558,           34218,             61,     11725,        1034,         31,      70500,        34218,         161,    11994,       2887,        39
