  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 77,          3501,            1638,            158,      1801,         172,         25,       2926,         1638,          67,     1751,        415,        39
 78,          3574,            1673,            186,      1788,         172,         26,       3003,         1673,          73,     1772,        420,        38
 79,          3711,            1740,            183,      1871,         168,         31,       3081,         1740,          76,     1808,        427,        34
 80,          3722,            1744,            365,      1947,         176,         27,       3160,         1744,          92,     1835,        435,        39
 81,          3803,            1783,            227,      1794,         170,         29,       3240,         1783,         137,     1863,        440,        44
 82,          3850,            1805,            203,      1807,         179,         33,       3321,         1805,          82,     1905,        452,        42
 83,          3953,            1855,            270,      1794,         186,         30,       3403,         1855,          74,     1909,        450,        42
 84,          3964,            1859,            182,      1872,         196,         31,       3486,         1859,          78,     1948,        462,        43
 85,          4055,            1903,            190,      1886,         190,         31,       3570,         1903,          96,     1991,        474,        27
 86,          4110,            1929,            114,      1944,         188,         18,       3655,         1929,          55,     1999,        472,        24
 87,          4201,            1973,             58,      1974,         193,         18,       3741,         1973,          81,     2051,        486,        28
 88,          4280,            2011,             44,      2080,         201,         22,       3828,         2011,          58,     2075,        494,        28
 89,          4353,            2046,             40,      2190,         204,         19,       3916,         2046,          58,     2097,        497,        28
 90,          4464,            2100,             40,      2050,         205,         18,       4005,         2100,          60,     2140,        509,        25
 91,          4491,            2112,             40,      2260,         211,         21,       4095,         2112,          61,     2163,        513,        28
 92,          4520,            2125,             40,      2177,         215,         19,       4186,         2125,          62,     2198,        522,        26
 93,          4607,            2167,             43,      2072,         217,         19,       4278,         2167,          63,     2209,        524,        28
 94,          4688,            2206,             43,      2091,         226,         19,       4371,         2206,          68,     2244,        531,        46
 95,          4705,            2213,             57,      2365,         213,         33,       4465,         2213,         137,     2279,        540,        45
 96,          4858,            2288,             45,      2243,         222,         21,       4560,         2288,          67,     2308,        547,        45
 97,          4943,            2329,             78,      2250,         219,         37,       4656,         2329,         118,     2347,        558,        44
 98,          5136,            2424,             74,      2262,         225,         32,       4753,         2424,         114,     2377,        565,        50
 99,          5307,            2508,             88,      2313,         228,         39,       4851,         2508,         106,     2404,        571,        30
100,          5432,            2569,             90,      2309,         232,         35,       4950,         2569,          88,     2430,        578,        43
